rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,INA / INA,"Hendra SETIAWAN, Mohammad AHSAN",0,59 - 14,"$583,894.38","83,180 / 11","https://bwfbadminton.com/player/51074/hendra-setiawan,https://bwfbadminton.com/player/52749/mohammad-ahsan","51074, 52749"
2,DEN / DEN,"Mathias BOE, Carsten MOGENSEN",0,283 - 95,"$704,307.12","75,932 / 16","https://bwfbadminton.com/player/50292/mathias-boe,https://bwfbadminton.com/player/51304/carsten-mogensen","50292, 51304"
3,JPN / JPN,"Hiroyuki ENDO, Kenichi HAYAKAWA",0,137 - 68,"$244,282.85","72,675 / 16","https://bwfbadminton.com/player/54026/hiroyuki-endo,https://bwfbadminton.com/player/54527/kenichi-hayakawa","54026, 54527"
4,KOR / KOR,"KIM Gi Jung, KIM Sa Rang",0,98 - 41,"$188,003.48","60,919 / 13","https://bwfbadminton.com/player/39276/kim-gi-jung,https://bwfbadminton.com/player/84007/kim-sa-rang","39276, 84007"
5,TPE / TPE,"LEE Sheng Mu, TSAI Chia Hsin",0,46 - 22,"$223,901.87","59,012 / 14","https://bwfbadminton.com/player/52931/lee-sheng-mu,https://bwfbadminton.com/player/13189/tsai-chia-hsin","52931, 13189"
6,CHN / CHN,"LIU Xiaolong, QIU Zihan",0,87 - 61,"$185,273.73","56,860 / 14","https://bwfbadminton.com/player/11777/liu-xiaolong,https://bwfbadminton.com/player/47277/qiu-zihan","11777, 47277"
7,MAS / MAS,"Thien How HOON, TAN Wee Kiong",0,63 - 41,"$117,943.60","56,590 / 14","https://bwfbadminton.com/player/15697/thien-how-hoon,https://bwfbadminton.com/player/52071/tan-wee-kiong","15697, 52071"
8,INA / INA,"Marcus Fernaldi GIDEON, Markis KIDO",0,26 - 13,"$255,277.47","55,320 / 13","https://bwfbadminton.com/player/26394/marcus-fernaldi-gideon,https://bwfbadminton.com/player/50420/markis-kido","26394, 50420"
9,ENG / ENG,"Chris ADCOCK, Andrew ELLIS",0,74 - 60,"$62,200.42","52,446 / 15","https://bwfbadminton.com/player/70333/chris-adcock,https://bwfbadminton.com/player/54413/andrew-ellis","70333, 54413"
10,KOR / KOR,"LEE Yong Dae, YOO Yeon Seong",0,23 - 4,"$989,580.61","51,180 / 7","https://bwfbadminton.com/player/52774/lee-yong-dae,https://bwfbadminton.com/player/52273/yoo-yeon-seong","52774, 52273"
11,INA / INA,"Angga PRATAMA, Rian Agung SAPUTRO",0,85 - 52,"$109,903.76","48,879 / 12","https://bwfbadminton.com/player/61855/angga-pratama,https://bwfbadminton.com/player/60692/rian-agung-saputro","61855, 60692"
12,RUS / RUS,"Vladimir IVANOV, Ivan SOZONOV",0,139 - 54,"$99,359.74","48,693 / 13","https://bwfbadminton.com/player/53924/vladimir-ivanov,https://bwfbadminton.com/player/67068/ivan-sozonov","53924, 67068"
13,JPN / JPN,"Takeshi KAMURA, Keigo SONODA",0,63 - 28,"$56,210.23","48,380 / 16","https://bwfbadminton.com/player/70969/takeshi-kamura,https://bwfbadminton.com/player/90623/keigo-sonoda","70969, 90623"
14,THA / THA,"Maneepong JONGJIT, Nipitphon PHUANGPHUAPET",0,36 - 21,"$79,543.08","47,350 / 16","https://bwfbadminton.com/player/67172/maneepong-jongjit,https://bwfbadminton.com/player/30342/nipitphon-phuangphuapet","67172, 30342"
15,CHN / CHN,"CHAI Biao, HONG Wei",0,32 - 8,"$292,629.99","46,030 / 8","https://bwfbadminton.com/player/96784/chai-biao,https://bwfbadminton.com/player/69809/hong-wei","96784, 69809"
16,JPN /  / JPN,"Hirokatsu HASHIMOTO, Noriyasu HIRATA",0,128 - 92,"$124,585.59","45,900 / 16","https://bwfbadminton.com/player/74326/hirokatsu-hashimoto,https://bwfbadminton.com/player/15380/noriyasu-hirata","74326, 15380"
17,DEN / DEN,"Mads CONRAD-PETERSEN, Mads Pieler KOLDING",0,76 - 26,"$98,791.15","45,095 / 16","https://bwfbadminton.com/player/42722/mads-conrad-petersen,https://bwfbadminton.com/player/52958/mads-pieler-kolding","42722, 52958"
18,KOR / KOR,"KO Sung Hyun, SHIN Baekcheol",0,18 - 9,"$393,415.23","44,310 / 9","https://bwfbadminton.com/player/88094/ko-sung-hyun,https://bwfbadminton.com/player/54785/shin-baekcheol","88094, 54785"
19,KOR / KOR,"KO Sung Hyun, LEE Yong Dae",0,83 - 15,"$914,365.61","43,146 / 6","https://bwfbadminton.com/player/88094/ko-sung-hyun,https://bwfbadminton.com/player/52774/lee-yong-dae","88094, 52774"
20,MAS / MAS,"LIM Khim Wah, GOH V Shem",0,66 - 36,"$120,981.86","42,252 / 9","https://bwfbadminton.com/player/54171/lim-khim-wah,https://bwfbadminton.com/player/54805/goh-v-shem","54171, 54805"
21,ENG / ENG,"Chris LANGRIDGE, Peter MILLS",0,56 - 37,"$39,800.07","41,431 / 17","https://bwfbadminton.com/player/51624/chris-langridge,https://bwfbadminton.com/player/65233/peter-mills","51624, 65233"
22,CHN / CHN,"KANG Jun, LIU Cheng",0,16 - 10,"$52,724.97","40,490 / 11","https://bwfbadminton.com/player/67866/kang-jun,https://bwfbadminton.com/player/95396/liu-cheng","67866, 95396"
23,DEN / DEN,"Kim ASTRUP, Anders Skaarup RASMUSSEN",0,59 - 31,"$40,355.75","39,310 / 16","https://bwfbadminton.com/player/92980/kim-astrup,https://bwfbadminton.com/player/44414/anders-skaarup-rasmussen","92980, 44414"
24,MAS / MAS,"Kien Keat KOO, TAN Boon Heong",0,239 - 86,"$456,963.38","39,200 / 7","https://bwfbadminton.com/player/14288/kien-keat-koo,https://bwfbadminton.com/player/52703/tan-boon-heong","14288, 52703"
25,INA / INA,"Berry ANGRIAWAN, Ricky KARANDASUWARDI",0,19 - 12,"$52,935.54","39,170 / 11","https://bwfbadminton.com/player/23374/berry-angriawan,https://bwfbadminton.com/player/66493/ricky-karandasuwardi","23374, 66493"
26,POL / POL,"Adam CWALINA, Przemyslaw WACHA",0,72 - 23,"$58,153.85","38,900 / 20","https://bwfbadminton.com/player/15358/adam-cwalina,https://bwfbadminton.com/player/8396/przemyslaw-wacha","15358, 8396"
27,TPE / TPE,"LIANG Jui Wei, LIAO Kuan Hao",0,48 - 41,"$21,924.60","38,670 / 19","https://bwfbadminton.com/player/67442/liang-jui-wei,https://bwfbadminton.com/player/96645/liao-kuan-hao","67442, 96645"
