rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,KOR / KOR,"LEE Yong Dae, YOO Yeon Seong",0,157 - 25,"$1,290,735.61","93,379 / 17","https://bwfbadminton.com/player/52774/lee-yong-dae,https://bwfbadminton.com/player/52273/yoo-yeon-seong","52774, 52273"
2,CHN / CHN,"FU Haifeng, ZHANG Nan",+2,81 - 26,"$558,333.12","75,665 / 13","https://bwfbadminton.com/player/51729/fu-haifeng,https://bwfbadminton.com/player/35357/zhang-nan","51729, 35357"
3,KOR / KOR,"KIM Gi Jung, KIM Sa Rang",0,177 - 75,"$348,579.72","74,047 / 23","https://bwfbadminton.com/player/39276/kim-gi-jung,https://bwfbadminton.com/player/84007/kim-sa-rang","39276, 84007"
4,CHN / CHN,"CHAI Biao, HONG Wei",+1,95 - 41,"$436,927.49","73,580 / 17","https://bwfbadminton.com/player/96784/chai-biao,https://bwfbadminton.com/player/69809/hong-wei","96784, 69809"
5,INA / INA,"Hendra SETIAWAN, Mohammad AHSAN",-3,148 - 43,"$713,175.62","65,520 / 18","https://bwfbadminton.com/player/51074/hendra-setiawan,https://bwfbadminton.com/player/52749/mohammad-ahsan","51074, 52749"
6,KOR / KOR,"KO Sung Hyun, SHIN Baekcheol",+1,94 - 40,"$458,652.71","65,243 / 22","https://bwfbadminton.com/player/88094/ko-sung-hyun,https://bwfbadminton.com/player/54785/shin-baekcheol","88094, 54785"
7,DEN / DEN,"Mathias BOE, Carsten MOGENSEN",-1,348 - 112,"$768,262.10","64,754 / 12","https://bwfbadminton.com/player/50292/mathias-boe,https://bwfbadminton.com/player/51304/carsten-mogensen","50292, 51304"
8,JPN / JPN,"Hiroyuki ENDO, Kenichi HAYAKAWA",0,210 - 116,"$303,406.59","63,377 / 17","https://bwfbadminton.com/player/54026/hiroyuki-endo,https://bwfbadminton.com/player/54527/kenichi-hayakawa","54026, 54527"
9,MAS / MAS,"GOH V Shem, TAN Wee Kiong",+3,88 - 37,"$180,250.57","63,237 / 24","https://bwfbadminton.com/player/54805/goh-v-shem,https://bwfbadminton.com/player/52071/tan-wee-kiong","54805, 52071"
10,DEN / DEN,"Mads CONRAD-PETERSEN, Mads Pieler KOLDING",-1,132 - 57,"$148,279.89","63,143 / 17","https://bwfbadminton.com/player/42722/mads-conrad-petersen,https://bwfbadminton.com/player/52958/mads-pieler-kolding","42722, 52958"
