rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,MAS,LEE Chong Wei,0,572 - 117,"$1,359,295.00","84,631 / 9",https://bwfbadminton.com/player/50152/lee-chong-wei,50152
2,CHN,CHEN Long,0,258 - 62,"$756,812.50","84,041 / 11",https://bwfbadminton.com/player/75787/chen-long,75787
3,DEN,Jan O JORGENSEN,0,287 - 165,"$287,922.00","68,203 / 14",https://bwfbadminton.com/player/54431/jan-o-jorgensen,54431
4,KOR,SON Wanho,0,182 - 97,"$167,007.50","62,052 / 17",https://bwfbadminton.com/player/54346/son-wanho,54346
5,CHN,LIN Dan,+2,515 - 73,"$715,435.00","57,760 / 8",https://bwfbadminton.com/player/50906/lin-dan,50906
6,IND,KIDAMBI Srikanth,+2,78 - 43,"$130,072.50","57,747 / 16",https://bwfbadminton.com/player/93627/kidambi-srikanth,93627
7,TPE,CHOU Tien Chen,+2,152 - 95,"$95,346.00","57,433 / 20",https://bwfbadminton.com/player/34810/chou-tien-chen,34810
8,INA,Tommy SUGIARTO,-3,238 - 127,"$165,551.00","54,483 / 12",https://bwfbadminton.com/player/14587/tommy-sugiarto,14587
9,CHN,WANG Zhengming,+1,133 - 67,"$172,797.50","54,330 / 12",https://bwfbadminton.com/player/23736/wang-zhengming,23736
10,DEN,Viktor AXELSEN,+1,155 - 67,"$101,814.50","52,446 / 18",https://bwfbadminton.com/player/25831/viktor-axelsen,25831
11,DEN,Hans-Kristian Solberg VITTINGHUS,+1,218 - 126,"$95,261.60","50,566 / 18",https://bwfbadminton.com/player/53753/hans-kristian-solberg-vittinghus,53753
12,JPN,Kenichi TAGO,-6,191 - 112,"$186,225.50","50,214 / 9",https://bwfbadminton.com/player/63707/kenichi-tago,63707
13,CHN,TIAN Houwei,+1,62 - 32,"$83,232.50","48,237 / 14",https://bwfbadminton.com/player/12903/tian-houwei,12903
14,JPN,Kento MOMOTA,+1,118 - 55,"$128,806.00","47,934 / 16",https://bwfbadminton.com/player/89785/kento-momota,89785
15,HKG,HU Yun,-2,158 - 117,"$131,992.50","46,077 / 15",https://bwfbadminton.com/player/14869/hu-yun,14869
