rank,rank_change,prev_rank,country,player,member_id,points,tournaments,profile_link
1,0,1,CHN,CHEN Long,75787,95901,13,https://bwf.tournamentsoftware.com/player-profile/8F42FC23-89C1-40CF-8F20-8519DE2BE4EF
2,0,2,DEN,Jan O JORGENSEN,54431,75967,16,https://bwf.tournamentsoftware.com/player-profile/7D1E14D8-1B2E-48E1-B6A4-3973D713C3EF
3,1,4,JPN,Kento MOMOTA,89785,69903,13,https://bwf.tournamentsoftware.com/player-profile/39EC811A-3BDF-4E29-93E9-CD1F0BD65990
4,-1,3,IND,KIDAMBI Srikanth,93627,69164,16,https://bwf.tournamentsoftware.com/player-profile/A9509AF9-8009-48A4-A4E2-486F125004C5
5,0,5,CHN,LIN Dan,50906,67057,11,https://bwf.tournamentsoftware.com/player-profile/296B69A5-3C25-4E3D-964E-DDFA46A1333A
6,1,7,DEN,Viktor AXELSEN,25831,59619,15,https://bwf.tournamentsoftware.com/player-profile/3BF0C3EA-7BFB-4CC9-A955-3712D850CFA4
7,-1,6,TPE,CHOU Tien Chen,34810,59118,17,https://bwf.tournamentsoftware.com/player-profile/41A01287-FA86-45C1-B980-860FC1C2DEB4
8,2,10,IND,PARUPALLI Kashyap,53944,56541,15,https://bwf.tournamentsoftware.com/player-profile/0DE63AAB-7715-46DC-8F3A-845734C2FA54
9,-1,8,CHN,WANG Zhengming,23736,56040,13,https://bwf.tournamentsoftware.com/player-profile/5347291B-7325-4866-AC14-CEE94178DE93
10,-1,9,KOR,SON Wanho,54346,54745,14,https://bwf.tournamentsoftware.com/player-profile/CB6FBD50-283A-4AA2-A5CE-5FE0778BC1E3
11,0,11,CHN,TIAN Houwei,12903,53390,14,https://bwf.tournamentsoftware.com/player-profile/E54FDF41-B758-4F2E-BF62-1A287B1093F6
12,0,12,IND,PRANNOY H. S.,83950,49900,13,https://bwf.tournamentsoftware.com/player-profile/9906AA55-580B-465A-8782-2251A4912DB9
13,2,15,HKG,HU Yun,14869,47872,16,https://bwf.tournamentsoftware.com/player-profile/37B8D414-634F-4C3F-93AC-91C7399EF113
