rank,rank_change,prev_rank,country,player1,player2,member_id1,member_id2,points,tournaments,profile_link1,profile_link2
1,0,1,TPE/TPE,CHENG Wen Hsing,CHIEN Yu Chin,10947,9846,67076,14,https://bwf.tournamentsoftware.com/player-profile/0EC45A3B-10AA-4FBA-B9AB-4D374036EC92,https://bwf.tournamentsoftware.com/player-profile/FF9882EF-C14B-414D-ACB7-A3521DB0E2F4
2,0,2,CHN/CHN,CHENG Shu,ZHAO Yunlei,54955,54522,63130,9,https://bwf.tournamentsoftware.com/player-profile/D73D604A-EB42-40D4-A23F-B131E57B4E33,https://bwf.tournamentsoftware.com/player-profile/11E5143C-EEB1-456F-BECB-04E324DD3B04
3,0,3,CHN/CHN,MA Jin,WANG Xiaoli,95281,14393,61916,8,https://bwf.tournamentsoftware.com/player-profile/FCF2D049-4CF1-4917-B562-B42D9BFE8590,https://bwf.tournamentsoftware.com/player-profile/2F7C0DD5-7428-4118-8D32-2B3359B135D3
4,0,4,CHN/CHN,DU Jing,YU Yang (F),14624,51667,60686,7,https://bwf.tournamentsoftware.com/player-profile/D4DEC9EC-D687-4CFC-9542-73E15C414D9F,https://bwf.tournamentsoftware.com/player-profile/740D0C46-DB36-4F42-BB3C-0E0C592CE7B7
5,0,5,JPN/JPN,Miyuki MAEDA,Satoko SUETSUNA,53150,50267,55541,12,https://bwf.tournamentsoftware.com/player-profile/C69FB839-AA98-4D3B-8F6F-8F50EAFFF521,https://bwf.tournamentsoftware.com/player-profile/FE67CDDE-BB64-4BF4-ACAE-300EDE3536B0
6,0,6,MAS/MAS,Eei Hui CHIN,Pei Tty WONG,50155,9162,50408,11,https://bwf.tournamentsoftware.com/player-profile/C72956B6-0BF5-460B-99C4-307C8FF40C38,https://bwf.tournamentsoftware.com/player-profile/6B93CD11-6369-4E68-8BFD-F403C9C6A058
7,0,7,JPN/JPN,Mizuki FUJII,Reika KAKIIWA,54533,70308,45883,14,https://bwf.tournamentsoftware.com/player-profile/8617081C-C6FB-4712-AF7D-FA18ECF064E0,https://bwf.tournamentsoftware.com/player-profile/AA821C04-905D-4818-B0ED-BF528A5726A3
8,0,8,BUL/RUS,Petya NEDELCHEVA,Anastasia RUSSKIKH,12765,8388,45710,16,https://bwf.tournamentsoftware.com/player-profile/D122C443-A2F9-4A06-B076-6BF717DEEB83,https://bwf.tournamentsoftware.com/player-profile/39104A77-1861-4AC2-B02B-5180EF85EA89
9,0,9,RUS/RUS,Valeria SOROKINA,Nina VISLOVA,46862,15311,43682,12,https://bwf.tournamentsoftware.com/player-profile/1BFBFBAE-BE0C-4929-9F95-F2C729079BB9,https://bwf.tournamentsoftware.com/player-profile/7BF00E36-2493-42F5-9C1A-8F4D5CC4AC6E
10,0,10,SGP/SGP,Shinta Mulia SARI,Lei YAO,52702,53796,43366,11,https://bwf.tournamentsoftware.com/player-profile/059D3041-F8D6-49D3-A0B8-865C89760D67,https://bwf.tournamentsoftware.com/player-profile/B5270299-54B9-482D-AF8B-9CB5F5891F97
11,0,11,INA/INA,Greysia POLII,Meiliana JAUHARI,14729,51113,42546,10,https://bwf.tournamentsoftware.com/player-profile/599974C3-A697-4ED9-BEBB-81B5FB695C96,https://bwf.tournamentsoftware.com/player-profile/50CE8E77-DDDF-424D-8E38-26B607031E7C
12,0,12,KOR/KOR,HA Jung Eun,LEE Kyung Won,15412,8245,39119,9,https://bwf.tournamentsoftware.com/player-profile/8C2E8CD1-01C5-4CDA-9D3A-5F2846F477B1,https://bwf.tournamentsoftware.com/player-profile/BDE3FBEA-357B-4421-BE89-E14D593551FC
13,0,13,THA/THA,Duanganong AROONKESORN,Kunchala VORAVICHITCHAIKUL,50730,50739,38460,13,https://bwf.tournamentsoftware.com/player-profile/4D468CDB-87F4-4B3A-92A8-4A42C8CF6134,https://bwf.tournamentsoftware.com/player-profile/81E13955-924F-4604-84D4-2C433BDF4C24
14,0,14,JPN/JPN,Shizuka MATSUO,Mami NAITO,55111,54524,37978,12,https://bwf.tournamentsoftware.com/player-profile/E1558AD0-9C69-4D90-B76F-5EFA4FA9BEF1,https://bwf.tournamentsoftware.com/player-profile/BEA95DD2-881A-4665-8119-DA780CE58C2B
15,0,15,NED/NED,Lotte JONATHANS,Paulien VAN DOOREMALEN,9288,51670,37370,16,https://bwf.tournamentsoftware.com/player-profile/F2F11333-77EE-4617-B690-07F101C230F1,https://bwf.tournamentsoftware.com/player-profile/98C5480B-BCEF-48D2-82C7-BDA4CBCF4F5E
16,1,17,CHN/CHN,PAN Pan,TIAN Qing,53058,52066,37085,6,https://bwf.tournamentsoftware.com/player-profile/25D8AE46-93EE-4860-B104-BE4E946415D0,https://bwf.tournamentsoftware.com/player-profile/71032496-1ADE-43A1-805B-35D48C8091C7
17,1,18,JPN/JPN,Rie ETOH,Yu WAKITA,30221,52089,37040,10,https://bwf.tournamentsoftware.com/player-profile/BA58610E-583C-4FDD-A361-12CD540CC621,https://bwf.tournamentsoftware.com/player-profile/21176DD7-E5D0-49D1-B426-C7A92C7500A0
18,1,19,KOR/KOR,LEE Hyo Jung,KIM Min Jung,12193,53333,36488,8,https://bwf.tournamentsoftware.com/player-profile/6AB876EF-63DA-4E97-A276-321EBA796ABE,https://bwf.tournamentsoftware.com/player-profile/E58CDFBC-7E6B-4021-8F7B-32E22E7A533B
19,1,20,IND/IND,Jwala GUTTA,Ashwini PONNAPPA,50884,49765,35908,11,https://bwf.tournamentsoftware.com/player-profile/D28DF6CB-3B5B-42DB-8347-5519A0117429,https://bwf.tournamentsoftware.com/player-profile/F3875CB7-E471-43E6-85AB-E5491472A119
20,-4,16,THA/THA,Savitree AMITRAPAI,Peeraya MUNKITAMORN,53582,53591,35154,16,https://bwf.tournamentsoftware.com/player-profile/1532AAFB-A4B6-43D8-90E1-42F11466E683,https://bwf.tournamentsoftware.com/player-profile/AA6261F7-719F-43E2-920F-4E3012AF790E
21,0,21,GER/GER,Sandra MARINELLO,Birgit OVERZIER,50855,50851,34216,10,https://bwf.tournamentsoftware.com/player-profile/BC4FBC7D-BF8F-4AF4-B109-10AA7E2A8E9B,https://bwf.tournamentsoftware.com/player-profile/79229D5E-2208-48D8-99D8-34F1982C5D0D
22,0,22,FRA/FRA,Laura CHOINET,Weny RASIDI,51364,4430,33994,15,https://bwf.tournamentsoftware.com/player-profile/6EE66B4A-7855-4CC8-8EED-46BE8A0291ED,https://bwf.tournamentsoftware.com/player-profile/95E65E96-3558-4FEE-A01D-3A5584F2A757
23,0,23,ENG/ENG,Jenny WALLWORK,Gabrielle ADCOCK,53188,62844,32791,13,https://bwf.tournamentsoftware.com/player-profile/9ED48495-9D08-492F-919B-5D79C6C9B318,https://bwf.tournamentsoftware.com/player-profile/DC87840A-9CF6-4CAA-BA1F-23E03A5D191D
24,0,24,CAN/CAN,Nicole GRETHER,Charmaine REID,3951,3156,31940,17,https://bwf.tournamentsoftware.com/player-profile/E56DB3E0-3EE7-4456-8DE3-99283C951A2D,https://bwf.tournamentsoftware.com/player-profile/519DB1F1-E903-422A-8BF7-AED2F8C94B99
25,0,25,JPN/JPN,Misaki MATSUTOMO,Ayaka TAKAHASHI,43851,16981,31390,11,https://bwf.tournamentsoftware.com/player-profile/3319278B-2545-4645-902F-16E00D23B3B2,https://bwf.tournamentsoftware.com/player-profile/D7A1B626-34B4-420D-AB70-B70344C427E1
26,0,26,SWE/SWE,Emelie FABBEKE,Emma WENGBERG,51661,53848,29491,13,https://bwf.tournamentsoftware.com/player-profile/4B0B65F1-C915-48B7-BC29-CE3910C7BD67,https://bwf.tournamentsoftware.com/player-profile/CE29D5CC-A4A9-47A0-8A9D-32A32BF5702A
27,3,30,HKG/HKG,CHAU Hoi Wah,CHAN Kaka Tsz Ka,55285,52929,29248,16,https://bwf.tournamentsoftware.com/player-profile/EEE177C5-DFBE-4DDC-8069-86831DD8E289,https://bwf.tournamentsoftware.com/player-profile/2CDC926A-1DFF-408A-81EE-B86A6D7189AE
28,1,29,MAC/MAC,ZHANG Dan,ZHANG Zhibo,14635,51292,28420,7,https://bwf.tournamentsoftware.com/player-profile/D91948EF-9B67-4FCF-A589-A9D2E5041E99,https://bwf.tournamentsoftware.com/player-profile/27274383-430D-4967-A2A4-1EF4B3D529B5
29,2,31,DEN/DEN,Line DAMKJAER KRUSE,Mie SCHJOETT-KRISTENSEN,46833,14983,27890,9,https://bwf.tournamentsoftware.com/player-profile/6E35D689-51FB-421F-BAFE-B5296420B1DE,https://bwf.tournamentsoftware.com/player-profile/55FA2352-02B7-49D3-8493-5DAEBB13A876
30,-3,27,DEN/DEN,Maria HELSBOL,Anne SKELBAEK,89477,29844,27580,10,https://bwf.tournamentsoftware.com/player-profile/2BCE398F-7A05-4F59-9592-952DBC1CCEDC,https://bwf.tournamentsoftware.com/player-profile/5D668B1A-F6D7-438D-A2CF-A9B20B672698
31,1,32,KOR/KOR,JUNG Kyung Eun,YOO Hyun Young,16745,54359,27440,5,https://bwf.tournamentsoftware.com/player-profile/0CDB0F6A-A460-4150-A963-8D8EABA4CF26,https://bwf.tournamentsoftware.com/player-profile/7F038D2E-8E8B-4FE8-90F3-4BC45EEBF00B
32,1,33,NED/NED,Samantha BARNING,Eefje MUSKENS,53833,54453,27380,11,https://bwf.tournamentsoftware.com/player-profile/7F4173F1-60C4-48B7-89C7-C0E2BF36CF35,https://bwf.tournamentsoftware.com/player-profile/C40370DD-92EB-4065-922F-4B02C12383A0
33,3,36,PER/PER,Christina AICARDI,Claudia RIVERO MODENSI,13181,13182,26090,10,https://bwf.tournamentsoftware.com/player-profile/FD90EA00-E0B7-4B60-A15F-74348DEECB62,https://bwf.tournamentsoftware.com/player-profile/99641EF0-FE7C-408D-8DEB-30A55D8BE05C
34,3,37,USA/USA,Iris WANG,Rena WANG,57798,79480,25150,12,https://bwf.tournamentsoftware.com/player-profile/BCA9B2D6-FF34-4FC7-99BC-39BBB9B85803,https://bwf.tournamentsoftware.com/player-profile/4D68310F-2364-431A-89E7-DF411DF31B57
35,-1,34,UKR/UKR,Anna KOBCEVA,Elena PRUS,54478,52301,24093,13,https://bwf.tournamentsoftware.com/player-profile/BBEC0EC7-4F97-4CE0-9396-20F81EE07E7C,https://bwf.tournamentsoftware.com/player-profile/2230441D-2CB3-4055-9857-69026B3A130F
36,-1,35,NZL/NZL,Danielle TAHURI,Donna HALIDAY,53637,13357,24005,14,https://bwf.tournamentsoftware.com/player-profile/13ABEAA0-C1C0-4D48-96D1-CF9B0BEA5DFC,https://bwf.tournamentsoftware.com/player-profile/B9578D99-0802-44F0-914F-4792D1786316
37,-9,28,INA/INA,Anneke Feinya AGUSTIN,Annisa WAHYUNI,55000,71567,23480,8,https://bwf.tournamentsoftware.com/player-profile/C58B6D0E-82CB-40DF-9FB7-0756D17FB8B8,https://bwf.tournamentsoftware.com/player-profile/4DE7FB59-6DC0-46CD-BBF5-BA1A1715835E
38,0,38,JEY/ENG,Mariana AGATHANGELOU,Heather OLVER,53854,53851,23100,8,https://bwf.tournamentsoftware.com/player-profile/289E95B4-EA83-46BA-9E58-67B310CD7411,https://bwf.tournamentsoftware.com/player-profile/FD2EF36B-FE73-4E40-89A7-DABEFE9F4E52
39,7,46,INA/INA,Shendy Puspa IRAWATI,Nitya Krishinda MAHESWARI,15813,54272,22902,8,https://bwf.tournamentsoftware.com/player-profile/4E8DFE1D-75EC-4E3A-9F38-B51D1A18FCAA,https://bwf.tournamentsoftware.com/player-profile/D1B4EEB6-3448-4171-9D51-5FAF42BB6D3E
