rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,CHN / CHN,"WANG Xiaoli, YU Yang (F)",0,145 - 17,"$1,114,243.75","88,645 / 11","https://bwfbadminton.com/player/14393/wang-xiaoli,https://bwfbadminton.com/player/51667/yu-yang-f","14393, 51667"
2,DEN / DEN,"Kamilla Rytter JUHL, Christinna PEDERSEN",0,92 - 42,"$343,433.43","79,338 / 15","https://bwfbadminton.com/player/51436/kamilla-rytter-juhl,https://bwfbadminton.com/player/53759/christinna-pedersen","51436, 53759"
3,JPN / JPN,"Misaki MATSUTOMO, Ayaka TAKAHASHI",0,115 - 68,"$332,502.26","72,090 / 17","https://bwfbadminton.com/player/43851/misaki-matsutomo,https://bwfbadminton.com/player/16981/ayaka-takahashi","43851, 16981"
4,CHN / CHN,"BAO Yixin, TANG Jin Hua",+1,38 - 1,"$553,152.49","65,920 / 8","https://bwfbadminton.com/player/80939/bao-yixin,https://bwfbadminton.com/player/39056/tang-jin-hua","80939, 39056"
5,KOR / KOR,"CHANG Ye Na, KIM Soyeong",+3,29 - 17,"$134,584.99","59,270 / 18","https://bwfbadminton.com/player/54361/chang-ye-na,https://bwfbadminton.com/player/55874/kim-soyeong","54361, 55874"
6,INA /  / INA,"Pia Zebadiah BERNADET, Rizki Amelia PRADIPTA",0,62 - 31,"$84,387.49","58,270 / 18","https://bwfbadminton.com/player/52730/pia-zebadiah-bernadet,https://bwfbadminton.com/player/91654/rizki-amelia-pradipta","52730, 91654"
7,JPN / JPN,"Reika KAKIIWA, Miyuki MAEDA",+2,30 - 16,"$241,501.45","58,120 / 14","https://bwfbadminton.com/player/70308/reika-kakiiwa,https://bwfbadminton.com/player/53150/miyuki-maeda","70308, 53150"
8,CHN / CHN,"MA Jin, TANG Jin Hua",-4,47 - 12,"$492,319.37","57,690 / 8","https://bwfbadminton.com/player/95281/ma-jin,https://bwfbadminton.com/player/39056/tang-jin-hua","95281, 39056"
9,KOR / KOR,"JUNG Kyung Eun, KIM Ha Na",-2,87 - 41,"$211,060.14","56,280 / 13","https://bwfbadminton.com/player/16745/jung-kyung-eun,https://bwfbadminton.com/player/73982/kim-ha-na","16745, 73982"
10,INA / INA,"Nitya Krishinda MAHESWARI, Greysia POLII",0,43 - 24,"$231,637.13","55,170 / 13","https://bwfbadminton.com/player/54272/nitya-krishinda-maheswari,https://bwfbadminton.com/player/14729/greysia-polii","54272, 14729"
11,CHN / CHN,"TIAN Qing, ZHAO Yunlei",+1,114 - 24,"$718,719.25","54,550 / 7","https://bwfbadminton.com/player/52066/tian-qing,https://bwfbadminton.com/player/54522/zhao-yunlei","52066, 54522"
