rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,TPE,TAI Tzu Ying,0,289 - 128,"$751,855.00","93,839 / 15",https://bwfbadminton.com/player/61427/tai-tzu-ying,61427
2,JPN,Akane YAMAGUCHI,0,216 - 72,"$496,045.00","84,911 / 18",https://bwfbadminton.com/player/96312/akane-yamaguchi,96312
3,THA,Ratchanok INTANON,0,309 - 137,"$630,842.50","78,390 / 20",https://bwfbadminton.com/player/35642/ratchanok-intanon,35642
4,IND,PUSARLA V. Sindhu,0,255 - 107,"$403,133.00","76,474 / 18",https://bwfbadminton.com/player/73173/pusarla-v-sindhu,73173
5,ESP,Carolina MARIN,0,304 - 96,"$448,853.50","73,686 / 17",https://bwfbadminton.com/player/18228/carolina-marin,18228
6,KOR,SUNG Jihyun,0,325 - 161,"$587,172.50","66,875 / 19",https://bwfbadminton.com/player/76594/sung-jihyun,76594
7,JPN,Nozomi OKUHARA,0,207 - 70,"$355,028.00","65,007 / 13",https://bwfbadminton.com/player/96713/nozomi-okuhara,96713
8,CHN,CHEN Yu Fei,0,126 - 50,"$92,557.50","64,308 / 19",https://bwfbadminton.com/player/78778/chen-yu-fei,78778
9,CHN,HE Bing Jiao,0,146 - 50,"$194,557.50","60,979 / 18",https://bwfbadminton.com/player/87434/he-bing-jiao,87434
10,USA,Beiwen ZHANG,0,212 - 102,"$145,138.62","58,250 / 19",https://bwfbadminton.com/player/53806/beiwen-zhang,53806
11,IND,Saina NEHWAL,0,378 - 161,"$745,547.50","55,520 / 14",https://bwfbadminton.com/player/52748/saina-nehwal,52748
12,THA,Nitchaon JINDAPOL,0,194 - 126,"$134,370.50","53,563 / 18",https://bwfbadminton.com/player/57971/nitchaon-jindapol,57971
13,JPN,Sayaka SATO,0,207 - 137,"$198,535.00","51,686 / 18",https://bwfbadminton.com/player/77317/sayaka-sato,77317
14,CHN,SUN Yu,0,148 - 59,"$237,080.00","46,711 / 8",https://bwfbadminton.com/player/92736/sun-yu,92736
15,JPN,Aya OHORI,0,131 - 63,"$70,225.00","46,606 / 14",https://bwfbadminton.com/player/95189/aya-ohori,95189
16,KOR,LEE Jang Mi,0,99 - 49,"$34,935.00","45,834 / 16",https://bwfbadminton.com/player/84992/lee-jang-mi,84992
17,SCO,Kirsty GILMOUR,0,214 - 101,"$62,475.50","45,377 / 18",https://bwfbadminton.com/player/48528/kirsty-gilmour,48528
18,CAN,Michelle LI,0,257 - 110,"$80,862.00","43,650 / 21",https://bwfbadminton.com/player/84523/michelle-li,84523
19,CHN,CHEN Xiao Xin,0,50 - 30,"$35,542.50","42,815 / 13",https://bwfbadminton.com/player/58637/chen-xiao-xin,58637
20,TPE,PAI Yu Po,0,117 - 108,"$44,440.00","40,670 / 17",https://bwfbadminton.com/player/99925/pai-yu-po,99925
21,JPN,Sayaka TAKAHASHI,0,167 - 71,"$103,642.00","39,920 / 12",https://bwfbadminton.com/player/34890/sayaka-takahashi,34890
22,JPN,Saena KAWAKAMI,0,80 - 25,"$51,137.50","39,340 / 9",https://bwfbadminton.com/player/61568/saena-kawakami,61568
23,THA,Pornpawee CHOCHUWONG,0,148 - 72,"$30,290.50","39,132 / 16",https://bwfbadminton.com/player/84062/pornpawee-chochuwong,84062
24,HKG,CHEUNG Ngan Yi,+1,96 - 95,"$49,485.00","37,957 / 17",https://bwfbadminton.com/player/87709/cheung-ngan-yi,87709
25,THA,Busanan ONGBAMRUNGPHAN,-1,182 - 116,"$113,962.50","37,764 / 17",https://bwfbadminton.com/player/58271/busanan-ongbamrungphan,58271
26,TPE,LEE Chia Hsin,0,88 - 79,"$18,711.50","36,933 / 18",https://bwfbadminton.com/player/76717/lee-chia-hsin,76717
27,MAS,Soniia CHEAH,0,107 - 66,"$21,281.50","36,129 / 14",https://bwfbadminton.com/player/18143/soniia-cheah,18143
28,DEN,Mia BLICHFELDT,+3,132 - 63,"$13,851.50","35,280 / 18",https://bwfbadminton.com/player/91224/mia-blichfeldt,91224
29,INA,Fitriani FITRIANI,0,81 - 55,"$22,228.50","35,279 / 14",https://bwfbadminton.com/player/96892/fitriani-fitriani,96892
30,HKG,YIP Pui Yin,-2,213 - 222,"$123,925.00","35,255 / 18",https://bwfbadminton.com/player/51649/yip-pui-yin,51649
31,MAS,GOH Jin Wei,-1,121 - 44,"$28,604.25","34,557 / 11",https://bwfbadminton.com/player/69012/goh-jin-wei,69012
32,RUS,Evgeniya KOSETSKAYA,+2,137 - 83,"$18,775.50","34,429 / 18",https://bwfbadminton.com/player/92400/evgeniya-kosetskaya,92400
33,KOR,KIM Hyo Min,-1,120 - 74,"$38,738.00","34,370 / 14",https://bwfbadminton.com/player/91598/kim-hyo-min,91598
34,ESP,Beatriz CORRALES,-1,256 - 126,"$42,858.00","33,983 / 17",https://bwfbadminton.com/player/95780/beatriz-corrales,95780
35,JPN,Minatsu MITANI,+1,145 - 109,"$129,280.00","32,940 / 12",https://bwfbadminton.com/player/66644/minatsu-mitani,66644
36,CHN,GAO Fang Jie,+1,46 - 20,"$45,780.00","32,808 / 6",https://bwfbadminton.com/player/78116/gao-fang-jie,78116
37,DEN,Line Højmark KJAERSFELDT,-2,160 - 112,"$31,328.75","32,622 / 17",https://bwfbadminton.com/player/63437/line-hojmark-kjaersfeldt,63437
38,JPN,Haruko SUZUKI,0,27 - 17,"$8,078.75","31,040 / 12",https://bwfbadminton.com/player/81880/haruko-suzuki,81880
39,INA,Hanna RAMADINI,0,116 - 69,"$18,845.50","30,473 / 12",https://bwfbadminton.com/player/97207/hanna-ramadini,97207
40,BUL,Linda ZETCHIRI,0,327 - 211,"$44,472.90","30,133 / 11",https://bwfbadminton.com/player/15105/linda-zetchiri,15105
41,INA,Dinar Dyah AYUSTINE,+1,75 - 58,"$14,568.00","30,130 / 11",https://bwfbadminton.com/player/61665/dinar-dyah-ayustine,61665
42,DEN,Natalia Koch ROHDE,+1,113 - 58,"$13,453.25","30,029 / 17",https://bwfbadminton.com/player/78534/natalia-koch-rohde,78534
43,TPE,CHIANG Ying Li,-2,67 - 73,"$13,172.50","29,971 / 19",https://bwfbadminton.com/player/27588/chiang-ying-li,27588
44,MAS,LEE Ying Ying,0,107 - 59,"$9,136.70","28,570 / 12",https://bwfbadminton.com/player/64889/lee-ying-ying,64889
