rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,KOR / KOR,"KO Sung Hyun, KIM Ha Na",0,127 - 50,"$497,097.49","81,000 / 18","https://bwfbadminton.com/player/88094/ko-sung-hyun,https://bwfbadminton.com/player/73982/kim-ha-na","88094, 73982"
2,INA / INA,"Tontowi AHMAD, Liliyana NATSIR",0,235 - 65,"$878,857.49","78,160 / 12","https://bwfbadminton.com/player/54267/tontowi-ahmad,https://bwfbadminton.com/player/14727/liliyana-natsir","54267, 14727"
3,CHN / CHN,"ZHENG Si Wei, CHEN Qing Chen",0,46 - 7,"$226,403.74","76,350 / 12","https://bwfbadminton.com/player/83046/zheng-si-wei,https://bwfbadminton.com/player/94125/chen-qing-chen","83046, 94125"
4,INA / INA,"Praveen JORDAN, Debby SUSANTO",0,85 - 45,"$238,245.59","68,700 / 15","https://bwfbadminton.com/player/89916/praveen-jordan,https://bwfbadminton.com/player/4425/debby-susanto","89916, 4425"
5,MAS / MAS,"CHAN Peng Soon, GOH Liu Ying",0,184 - 106,"$252,700.61","67,060 / 21","https://bwfbadminton.com/player/53142/chan-peng-soon,https://bwfbadminton.com/player/53159/goh-liu-ying","53142, 53159"
6,DEN / DEN,"Joachim FISCHER NIELSEN, Christinna PEDERSEN",0,256 - 79,"$798,815.23","65,520 / 12","https://bwfbadminton.com/player/10513/joachim-fischer-nielsen,https://bwfbadminton.com/player/53759/christinna-pedersen","10513, 53759"
7,CHN / CHN,"LU Kai, HUANG Ya Qiong",0,87 - 36,"$254,818.73","62,790 / 15","https://bwfbadminton.com/player/28549/lu-kai,https://bwfbadminton.com/player/63168/huang-ya-qiong","28549, 63168"
8,ENG / ENG,"Chris ADCOCK, Gabrielle ADCOCK",0,161 - 98,"$313,313.51","60,730 / 17","https://bwfbadminton.com/player/70333/chris-adcock,https://bwfbadminton.com/player/62844/gabrielle-adcock","70333, 62844"
9,MAS / MAS,"TAN Kian Meng, LAI Pei Jing",0,22 - 11,"$58,873.09","51,670 / 15","https://bwfbadminton.com/player/67654/tan-kian-meng,https://bwfbadminton.com/player/47007/lai-pei-jing","67654, 47007"
10,HKG / HKG,"LEE Chun Hei Reginald, CHAU Hoi Wah",+1,98 - 63,"$181,538.34","50,430 / 20","https://bwfbadminton.com/player/92609/lee-chun-hei-reginald,https://bwfbadminton.com/player/55285/chau-hoi-wah","92609, 55285"
11,THA / THA,"Bodin ISARA, Savitree AMITRAPAI",+1,38 - 15,"$42,417.33","48,240 / 16","https://bwfbadminton.com/player/75983/bodin-isara,https://bwfbadminton.com/player/53582/savitree-amitrapai","75983, 53582"
12,THA / THA,"Dechapol PUAVARANUKROH, Sapsiree TAERATTANACHAI",+2,23 - 13,"$34,130.00","48,080 / 18","https://bwfbadminton.com/player/61731/dechapol-puavaranukroh,https://bwfbadminton.com/player/67158/sapsiree-taerattanachai","61731, 67158"
13,JPN / JPN,"Kenta KAZUNO, Ayane KURIHARA",0,35 - 26,"$39,006.86","46,780 / 21","https://bwfbadminton.com/player/53161/kenta-kazuno,https://bwfbadminton.com/player/89285/ayane-kurihara","53161, 89285"
